Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incidence_Rate,Case-Fatality_Ratio
Abruzzo,Italy,2020-09-20 04:22:56,42.35122196,13.39843823,4137,474,2984,679.0,315.4210951676604,11.457577955039884
Acre,Brazil,2020-09-20 04:22:56,-9.0238,-70.812,27061,648,24298,2115.0,3068.366716367985,2.3945900003695355
Adygea Republic,Russia,2020-09-20 04:22:56,44.6939006,40.1520421,3775,31,3253,491.0,832.6422219085263,0.8211920529801324
Aguascalientes,Mexico,2020-09-20 04:22:56,21.8853,-102.2916,6581,555,5783,243.0,458.7229504368706,8.433368788937852
Aichi,Japan,2020-09-20 04:22:56,35.035551,137.211621,5077,79,4554,444.0,67.22509708710224,1.5560370297419737
Akita,Japan,2020-09-20 04:22:56,39.748679,140.408228,52,0,51,1.0,5.3802936398721135,0.0
Alabama,US,2020-09-20 04:22:56,32.88428035358209,-86.71012237686571,144164,2437,0,141727.0,3239.9325535488906,2.0594842684712624
Alagoas,Brazil,2020-09-20 04:22:56,-9.5713,-36.782,83950,2014,80658,1278.0,2515.463583907865,2.3990470518165576
Alaska,US,2020-09-20 04:22:56,60.41150609269231,-148.68769288076925,6729,45,0,6684.0,681.8067525668181,0.7242884194065496
Alberta,Canada,2020-09-20 04:22:56,53.9333,-116.5765,16381,255,14702,1424.0,371.18645066354026,1.5566815212746474
Altai Krai,Russia,2020-09-20 04:22:56,52.6932243,82.69314240000001,12914,164,11648,1102.0,549.5132080610022,1.2699396004336378
Altai Republic,Russia,2020-09-20 04:22:56,50.7114101,86.8572186,2798,12,2235,551.0,1283.1154299445573,0.4288777698355968
Amapa,Brazil,2020-09-20 04:22:56,0.902,-52.003,46738,691,35026,11021.0,5526.343482738601,1.4784543626171425
Amazonas,Brazil,2020-09-20 04:22:56,-3.4168,-65.8561,131573,3956,109874,17743.0,3174.566791415426,3.0066959026548
Amazonas,Colombia,2020-09-20 04:22:56,-1.4429,-71.5724,2732,115,2597,20.0,3567.091880034992,4.209370424597363
Amazonas,Peru,2020-09-20 04:22:56,-5.077253,-78.050172,12987,204,0,12783.0,3042.8772258669164,1.5708015708015708
Amur Oblast,Russia,2020-09-20 04:22:56,52.8032368,128.437295,3959,50,3514,395.0,495.8518281013597,1.262945188178833
Ancash,Peru,2020-09-20 04:22:56,-9.407125,-77.67179499999997,21235,1248,0,19987.0,1798.6616974419787,5.8770897103838005
Andalusia,Spain,2020-09-20 04:22:56,37.5443,-4.7278,47612,1662,10671,35279.0,564.9663211866524,3.490716626060657
Andaman and Nicobar Islands,India,2020-09-20 04:22:56,11.225999,92.968178,3631,52,3414,165.0,870.6682396723544,1.4321123657394657
Andhra Pradesh,India,2020-09-20 04:22:56,15.9129,79.74,609558,5244,519891,84423.0,1130.8341944263138,0.8602954927997007
Anguilla,United Kingdom,2020-09-20 04:22:56,18.2206,-63.0686,3,0,3,0.0,19.99733368884149,0.0
Anhui,China,2020-09-20 04:22:56,31.8257,117.2264,991,6,985,0.0,1.5670461733080334,0.6054490413723511
Antioquia,Colombia,2020-09-20 04:22:56,7.1986,-75.3412,102501,2187,85968,14346.0,1599.8028437817914,2.133637720607604
Antofagasta,Chile,2020-09-20 04:22:56,-23.6509,-70.3975,19391,489,18423,479.0,3191.755523147676,2.521788458563251
Aomori,Japan,2020-09-20 04:22:56,40.781541,140.828896,35,1,32,2.0,2.808152628711676,2.8571428571428568
Apurimac,Peru,2020-09-20 04:22:56,-14.027713,-72.975378,4200,79,0,4121.0,975.156721615974,1.880952380952381
Aragon,Spain,2020-09-20 04:22:56,41.5976,-0.9057,32266,1302,3772,27192.0,2443.3092581626643,4.035207338994606
Arauca,Colombia,2020-09-20 04:22:56,7.0762,-70.7105,1449,34,1122,293.0,552.6863838519456,2.3464458247066937
Araucania,Chile,2020-09-20 04:22:56,-38.9489,-72.3311,6358,103,5770,485.0,664.2123473711482,1.620006291286568
Arequipa,Peru,2020-09-20 04:22:56,-15.843524,-72.475539,39046,1297,0,37749.0,2607.586483237612,3.321723095835681
Arica y Parinacota,Chile,2020-09-20 04:22:56,-18.594,-69.4785,7561,138,7030,393.0,3344.568890776226,1.825155402724508
Arizona,US,2020-09-20 04:22:56,33.675903642,-111.46323212666667,212942,5451,0,207491.0,2927.250678937342,6.041792466461883
Arkansas,US,2020-09-20 04:22:56,34.911889390266666,-92.43397826839998,75160,1181,0,73979.0,2564.9724143124126,1.821153101596221
Arkhangelsk Oblast,Russia,2020-09-20 04:22:56,63.5589686,43.1221646,12290,257,9799,2234.0,1064.0434690760744,2.09113100081367
Aruba,Netherlands,2020-09-20 04:22:56,12.5211,-69.9683,3460,23,2128,1309.0,3240.732068261432,0.6647398843930635
Arunachal Pradesh,India,2020-09-20 04:22:56,27.768456,96.384277,7005,13,5106,1886.0,446.0482228751103,0.185581727337616
Assam,India,2020-09-20 04:22:56,26.357149,92.830441,152858,540,123687,28631.0,429.2915229485945,0.3532690470894556
Astrakhan Oblast,Russia,2020-09-20 04:22:56,47.1878186,47.608851,6550,94,6144,312.0,643.725786573944,1.4351145038167938
Asturias,Spain,2020-09-20 04:22:56,43.3614,-5.8593,4340,341,1063,2936.0,424.57237051276405,7.857142857142858
Atacama,Chile,2020-09-20 04:22:56,-27.5661,-70.0503,6552,56,6083,413.0,2267.5674179079683,0.8547008547008547
Atlantico,Colombia,2020-09-20 04:22:56,10.6966,-74.8741,66512,3016,61671,1825.0,2623.212544029482,4.5345200866009145
Australian Capital Territory,Australia,2020-09-20 04:22:56,-35.4735,149.0124,113,3,110,0.0,26.395701938799345,2.6548672566371683
Ayacucho,Peru,2020-09-20 04:22:56,-14.091648,-74.08344,10410,286,0,10124.0,1557.9167913798265,2.7473583093179634
Aysen,Chile,2020-09-20 04:22:56,-45.9864,-73.7669,223,1,155,67.0,216.1732488028073,0.4484304932735426
Azad Jammu and Kashmir,Pakistan,2020-09-20 04:22:56,34.027401,73.947253,2517,67,2257,193.0,62.21933936261885,2.6618990862137464
Baden-Wurttemberg,Germany,2020-09-20 04:22:56,48.6616,9.3501,46779,1871,41228,3680.0,422.5923532636833,3.9996579661814073
Bahia,Brazil,2020-09-20 04:22:56,-12.5797,-41.7007,294210,6221,280351,7638.0,1978.1398103309448,2.1144760545188808
Baja California,Mexico,2020-09-20 04:22:56,30.8406,-115.2838,18501,3367,14561,573.0,508.9868462898792,18.19901626939084
Baja California Sur,Mexico,2020-09-20 04:22:56,26.0444,-111.6661,9374,428,8112,834.0,1164.8945953066204,4.565820354171112
Baleares,Spain,2020-09-20 04:22:56,39.710358,2.995148,12059,270,1533,10256.0,1014.8793994378144,2.238991624512812
Balochistan,Pakistan,2020-09-20 04:22:56,28.328492,65.898403,14269,145,12969,1155.0,115.59080030407291,1.0161889410610414
Bashkortostan Republic,Russia,2020-09-20 04:22:56,54.8573563,57.1439682,8384,33,8158,193.0,206.3351080023025,0.3936068702290077
Basilicata,Italy,2020-09-20 04:22:56,40.63947052,15.80514834,631,28,438,165.0,112.10423739804466,4.437400950871632
Bayern,Germany,2020-09-20 04:22:56,48.7904,11.4979,64465,2648,56398,5419.0,492.9752649765945,4.107655316838596
Beijing,China,2020-09-20 04:22:56,40.1824,116.4142,935,9,926,0.0,4.340761374187558,0.962566844919786
Belgorod Oblast,Russia,2020-09-20 04:22:56,50.7080119,37.5837615,8208,57,7521,630.0,529.5907543571228,0.6944444444444444
Berlin,Germany,2020-09-20 04:22:56,52.52,13.405,13064,227,11667,1170.0,358.42588919196686,1.7375995101041029
Bermuda,United Kingdom,2020-09-20 04:22:56,32.3078,-64.7505,180,9,166,5.0,289.0498289788512,5.0
Bihar,India,2020-09-20 04:22:56,25.679658,85.60484,165218,859,151750,12609.0,132.3862964470027,0.519919137140021
Biobio,Chile,2020-09-20 04:22:56,-37.4464,-72.1416,21564,286,19404,1874.0,1385.144574946766,1.3262845483212762
Blekinge,Sweden,2020-09-20 04:22:56,56.2784,15.018,624,17,0,607.0,390.96274576143753,2.7243589743589745
Bolivar,Colombia,2020-09-20 04:22:56,8.6704,-74.03,27972,754,25630,1588.0,1351.2325431981876,2.695552695552696
"Bonaire, Sint Eustatius and Saba",Netherlands,2020-09-20 04:22:56,12.1784,-68.2385,36,1,17,18.0,137.294534914763,2.7777777777777777
Boyaca,Colombia,2020-09-20 04:22:56,5.4545,-73.362,5995,117,4266,1612.0,492.4526194043582,1.95162635529608
Brandenburg,Germany,2020-09-20 04:22:56,52.4125,12.5316,4117,173,3792,152.0,163.8987275455359,4.202088899684236
Bremen,Germany,2020-09-20 04:22:56,53.0793,8.8017,2192,59,2015,118.0,320.94362109911475,2.6916058394160585
British Columbia,Canada,2020-09-20 04:22:56,53.7267,-127.6476,7842,223,5797,1822.0,153.43626202499468,2.8436623310380007
British Virgin Islands,United Kingdom,2020-09-20 04:22:56,18.4207,-64.64,69,1,48,20.0,228.19724178986007,1.4492753623188406
Bryansk Oblast,Russia,2020-09-20 04:22:56,52.8873315,33.41585300000001,8927,37,7288,1602.0,737.1703295342128,0.414472947238714
Buryatia Republic,Russia,2020-09-20 04:22:56,52.7182426,109.492143,6152,62,5223,867.0,624.878746910903,1.0078023407022108
C. Valenciana,Spain,2020-09-20 04:22:56,39.484,-0.7533,34370,1541,9970,22859.0,690.8585762041936,4.48356124527204
Cajamarca,Peru,2020-09-20 04:22:56,-6.430284,-78.74559599999998,18433,441,0,17992.0,1268.005778358671,2.392448326371181
Calabria,Italy,2020-09-20 04:22:56,38.90597598,16.59440194,1810,98,1267,445.0,92.95727919693128,5.414364640883979
Caldas,Colombia,2020-09-20 04:22:56,5.2983,-75.2479,4653,106,3183,1364.0,466.1133678268579,2.278100150440576
California,US,2020-09-20 04:22:56,37.84396164603449,-120.72859416379308,783313,15018,0,768295.0,1544.8584199971447,1.4726158068176334
Callao,Peru,2020-09-20 04:22:56,-11.954609,-77.136042,30730,1687,0,29043.0,2719.709708823789,5.489749430523918
Campania,Italy,2020-09-20 04:22:56,40.83956555,14.25084984,10089,456,5060,4573.0,173.8975457504466,4.519774011299434
Campeche,Mexico,2020-09-20 04:22:56,19.8301,-90.5349,5851,800,4981,70.0,584.7392159037872,13.672876431379253
Canarias,Spain,2020-09-20 04:22:56,28.2916,-16.6291,11479,209,1537,9733.0,520.1411390905165,1.820716090251764
Cantabria,Spain,2020-09-20 04:22:56,43.1828,-3.9878,6058,231,2287,3540.0,1041.5359302387556,3.8131396500495214
Capital District,Colombia,2020-09-20 04:22:56,4.711,-74.0721,250490,6408,205741,38341.0,3379.261648395441,2.5581859555271667
Caqueta,Colombia,2020-09-20 04:22:56,0.8699,-73.8419,7759,274,6504,981.0,1932.556060066403,3.5313829101688365
Casanare,Colombia,2020-09-20 04:22:56,5.7589,-71.5724,1771,41,1203,527.0,421.1612731389,2.3150762281197066
Castilla - La Mancha,Spain,2020-09-20 04:22:56,39.2796,-3.0977,34835,3065,6392,25378.0,1711.897082722936,8.798622075498779
Castilla y Leon,Spain,2020-09-20 04:22:56,41.8357,-4.3976,38872,2931,8716,27225.0,1614.46472677826,7.540131714344517
Catalonia,Spain,2020-09-20 04:22:56,41.5912,1.5209,128901,5797,26203,96901.0,1703.5905038980732,4.497249827386909
Cauca,Colombia,2020-09-20 04:22:56,2.705,-76.82600000000002,8192,224,6257,1711.0,559.3763827358093,2.734375
Cayman Islands,United Kingdom,2020-09-20 04:22:56,19.3133,-81.2546,208,1,204,3.0,316.4942178940961,0.4807692307692308
Ceara,Brazil,2020-09-20 04:22:56,-5.4984,-39.3206,233600,8801,206727,18072.0,2558.0158207146287,3.7675513698630136
Cesar,Colombia,2020-09-20 04:22:56,9.3373,-73.6536,17236,494,12740,4002.0,1435.6466157021555,2.866094221397076
Ceuta,Spain,2020-09-20 04:22:56,35.8894,-5.3213,441,9,163,269.0,519.8693842907496,2.0408163265306123
Chandigarh,India,2020-09-20 04:22:56,30.733839,76.76827800000002,9506,113,6415,2978.0,820.5629306854802,1.1887229118451503
Channel Islands,United Kingdom,2020-09-20 04:22:56,49.3723,-2.3644,644,48,575,21.0,377.7148253068933,7.453416149068322
Chechen Republic,Russia,2020-09-20 04:22:56,43.39761470000001,45.6985005,2374,40,1811,523.0,165.20747316770368,1.6849199663016006
Chelyabinsk Oblast,Russia,2020-09-20 04:22:56,54.4223954,61.1865846,14928,122,10969,3837.0,427.3646192023214,0.8172561629153269
Cherkasy Oblast,Ukraine,2020-09-20 04:22:56,49.4444,32.0598,2983,48,1345,1590.0,247.27463234166507,1.609118337244385
Chernihiv Oblast,Ukraine,2020-09-20 04:22:56,51.4982,31.2893,3188,46,738,2404.0,316.9789558983639,1.4429109159347553
Chernivtsi Oblast,Ukraine,2020-09-20 04:22:56,48.2917,25.9352,12917,329,7514,5074.0,1428.280777642878,2.5470310443601454
Chhattisgarh,India,2020-09-20 04:22:56,21.264705,82.035366,81617,645,44392,36580.0,277.2671542087029,0.790276535525687
Chiapas,Mexico,2020-09-20 04:22:56,16.7569,-93.1292,6427,1016,5354,57.0,112.1568653456227,15.808308697681651
Chiba,Japan,2020-09-20 04:22:56,35.510141,140.198917,3603,68,3174,361.0,57.56159314130373,1.887316125451013
Chihuahua,Mexico,2020-09-20 04:22:56,28.63300000000001,-106.0691,9464,1276,7553,635.0,248.95521147382595,13.482671174978869
Choco,Colombia,2020-09-20 04:22:56,5.2528,-76.82600000000002,3930,154,3636,140.0,734.8184269276362,3.918575063613232
Chongqing,China,2020-09-20 04:22:56,30.0572,107.874,584,6,577,1.0,1.8826563507414569,1.0273972602739727
Chukotka Autonomous Okrug,Russia,2020-09-20 04:22:56,66.0006475,169.4900869,182,2,172,8.0,368.809272918862,1.0989010989010992
Chuvashia Republic,Russia,2020-09-20 04:22:56,55.4259922,47.0849429,8301,85,7047,1169.0,674.2657277902912,1.0239730152993616
Ciudad de Mexico,Mexico,2020-09-20 04:22:56,19.4326,-99.1332,116943,11545,98840,6558.0,1296.680377152,9.872330964657996
Coahuila,Mexico,2020-09-20 04:22:56,27.0587,-101.7068,24766,1723,22020,1023.0,769.4362976586966,6.95711863038036
Colima,Mexico,2020-09-20 04:22:56,19.1223,-104.0072,4380,518,3567,295.0,557.8530553917517,11.82648401826484
Colorado,US,2020-09-20 04:22:56,38.935474467656235,-105.48623995937497,64336,2013,0,62323.0,881.2097084263132,2.0334984705494734
Connecticut,US,2020-09-20 04:22:56,41.61368014,-72.65682967875,55527,4492,0,51035.0,1197.5309106266814,6.5158105510391495
Coquimbo,Chile,2020-09-20 04:22:56,-29.959,-71.3389,11497,192,10756,549.0,1517.5834822713198,1.6700008697921196
Cordoba,Colombia,2020-09-20 04:22:56,8.0493,-75.574,22745,1480,19406,1859.0,1274.384617065492,6.506924598812926
Crimea Republic*,Ukraine,2020-09-20 04:22:56,45.2835,34.2008,3573,47,2400,1126.0,186.703355905297,1.315421214665547
Cundinamarca,Colombia,2020-09-20 04:22:56,5.026,-74.03,30582,898,25087,4597.0,1047.666029475242,2.9363677980511413
Curacao,Netherlands,2020-09-20 04:22:56,12.1696,-68.99,247,1,88,158.0,150.51797684338817,0.4048582995951417
Cusco,Peru,2020-09-20 04:22:56,-13.191068,-72.153609,19135,387,0,18748.0,1409.9918944808785,2.02247191011236
Dadra and Nagar Haveli and Daman and Diu,India,2020-09-20 04:22:56,20.194742,73.080901,2859,2,2639,218.0,464.3314212211965,0.0699545295557887
Dagestan Republic,Russia,2020-09-20 04:22:56,43.05749160000001,47.1332224,12514,543,10744,1227.0,408.4356952039648,4.3391401630174204
Dalarna,Sweden,2020-09-20 04:22:56,61.0917,14.6664,2365,174,0,2191.0,821.2775119284915,7.357293868921776
Delaware,US,2020-09-20 04:22:56,39.10927682333334,-75.53323745666665,19449,621,0,18828.0,2033.1107108064327,2.558009398967391
Delhi,India,2020-09-20 04:22:56,28.646519,77.10898,238828,4907,201671,32250.0,1276.4095751134014,2.0546167116083542
Diamond Princess,Canada,2020-09-20 04:22:56,,,0,1,0,0.0,,
Diamond Princess,US,2020-08-04 02:27:56,,,49,0,0,49.0,,0.0
District of Columbia,US,2020-09-20 04:22:56,38.90417773,-77.01655992,14902,619,0,14283.0,2111.515567149227,4.153804858408267
Distrito Federal,Brazil,2020-09-20 04:22:56,-15.7998,-47.8645,183096,3048,170627,9421.0,6072.296061245634,1.6647004849914802
Dnipropetrovsk Oblast,Ukraine,2020-09-20 04:22:56,48.4647,35.0462,3878,89,1830,1959.0,120.94270440736048,2.294997421351212
Donetsk Oblast,Ukraine,2020-09-20 04:22:56,48.0159,37.8028,2371,35,982,1354.0,56.9144586009125,1.4761703922395613
Drenthe,Netherlands,2020-09-20 04:22:56,52.862485,6.6184350000000025,722,41,0,681.0,146.2479895965419,5.678670360110804
Durango,Mexico,2020-09-20 04:22:56,24.5593,-104.6588,8098,559,6859,680.0,433.2807560850853,6.90293899728328
Ehime,Japan,2020-09-20 04:22:56,33.624835,132.856842,114,6,108,0.0,8.512449457331346,5.2631578947368425
Emilia-Romagna,Italy,2020-09-20 04:22:56,44.49436681,11.3417208,34225,4474,25313,4438.0,767.4666782674292,13.072315558802044
England,United Kingdom,2020-09-20 04:22:56,52.3555,-1.1743,336622,37076,0,299546.0,601.3555519032749,11.014134548544064
Espirito Santo,Brazil,2020-09-20 04:22:56,-19.1834,-40.3089,123720,3408,113545,6767.0,3078.645813892725,2.754607177497576
Extremadura,Spain,2020-09-20 04:22:56,39.4937,-6.0679,8166,544,2652,4970.0,766.4554205649582,6.6617683076169465
Falkland Islands (Malvinas),United Kingdom,2020-09-20 04:22:56,-51.7963,-59.5236,13,0,13,0.0,373.2414585127763,0.0
Faroe Islands,Denmark,2020-09-20 04:22:56,61.8926,-6.9118,431,0,412,19.0,882.0218970633377,0.0
Flevoland,Netherlands,2020-09-20 04:22:56,52.550383,5.515162,1762,97,0,1665.0,416.52778467262857,5.505107832009081
Florida,US,2020-09-20 04:22:56,28.94075487910448,-82.70074390925375,681233,13287,0,667946.0,3523.976717295195,1.8421327112143615
French Guiana,France,2020-09-20 04:22:56,4.0,-53.0,9692,65,9341,286.0,3244.922693700993,0.6706562113082954
French Polynesia,France,2020-09-20 04:22:56,-17.6797,-149.4068,1271,2,1028,241.0,452.4677469882949,0.1573564122738001
Friesland,Netherlands,2020-09-20 04:22:56,53.087337,5.7925,1011,69,0,942.0,155.54875168665004,6.824925816023739
Friuli Venezia Giulia,Italy,2020-09-20 04:22:56,45.6494354,13.76813649,4345,350,3314,681.0,357.54842744523626,8.055235903337168
Fujian,China,2020-09-20 04:22:56,26.0789,117.9874,395,1,380,14.0,1.002283684344075,0.2531645569620253
Fukui,Japan,2020-09-20 04:22:56,35.846614,136.22465400000002,244,9,215,20.0,31.773439748312693,3.6885245901639343
Fukuoka,Japan,2020-09-20 04:22:56,33.526032,130.666949,5000,89,4629,282.0,97.96854386806066,1.78
Fukushima,Japan,2020-09-20 04:22:56,37.378867,140.223295,218,2,180,36.0,11.812395320774266,0.9174311926605504
Galicia,Spain,2020-09-20 04:22:56,42.5751,-8.1339,18593,702,9204,8687.0,688.5171718248982,3.7756144785672032
Gansu,China,2020-09-20 04:22:56,35.7518,104.2861,170,2,168,0.0,0.6446719757299962,1.1764705882352942
Gavleborg,Sweden,2020-09-20 04:22:56,61.3012,16.1534,3285,167,0,3118.0,1143.0778545629162,5.083713850837139
Gelderland,Netherlands,2020-09-20 04:22:56,52.061738,5.939114,9126,692,0,8434.0,437.4980824103335,7.582730659653738
Georgia,US,2020-09-20 04:22:56,32.80853214484278,-83.57742992610066,305021,6599,0,298422.0,3019.3721178652295,2.8690190377003164
Gibraltar,United Kingdom,2020-09-20 04:22:56,36.1408,-5.3536,350,0,322,28.0,1038.8531061707874,0.0
Gifu,Japan,2020-09-20 04:22:56,35.778671,137.055925,597,10,552,35.0,30.05154065741898,1.6750418760469012
Gilgit-Baltistan,Pakistan,2020-09-20 04:22:56,35.792146,74.982138,3450,81,3036,333.0,340.37632796097813,2.347826086956522
Goa,India,2020-09-20 04:22:56,15.359682,74.057396,27379,335,21314,5730.0,1726.02048857368,1.2235655064100224
Goias,Brazil,2020-09-20 04:22:56,-15.827,-49.8362,182856,4135,172741,5980.0,2605.3972199179466,2.2613422583891154
Gotland,Sweden,2020-09-20 04:22:56,57.4684,18.4867,324,6,0,318.0,542.8408672050397,1.851851851851852
Grand Princess,Canada,2020-09-20 04:22:56,,,13,0,13,0.0,,0.0
Grand Princess,US,2020-08-04 02:27:56,,,103,3,0,100.0,,2.912621359223301
Greenland,Denmark,2020-09-20 04:22:56,71.7069,-42.6043,14,0,14,0.0,24.660043683505958,0.0
Groningen,Netherlands,2020-09-20 04:22:56,53.217922,6.741514,1011,19,0,992.0,172.5650575387546,1.8793273986152323
Guadeloupe,France,2020-09-20 04:22:56,16.265,-61.551,3426,26,837,2563.0,856.2281475631488,0.7589025102159953
Guainia,Colombia,2020-09-20 04:22:56,2.5854,-68.5247,547,10,234,303.0,1136.8832356486678,1.828153564899452
Guam,US,2020-09-20 04:22:56,13.4443,144.7937,2074,31,0,2043.0,1262.8707475537208,1.4946962391513985
Guanajuato,Mexico,2020-09-20 04:22:56,21.019,-101.2574,38340,2709,33126,2505.0,615.5896390194561,7.065727699530517
Guangdong,China,2020-09-20 04:22:56,23.3417,113.4244,1797,8,1767,22.0,1.5838180856689583,0.4451864218141346
Guangxi,China,2020-09-20 04:22:56,23.8298,108.7881,258,2,253,3.0,0.5237515225334958,0.7751937984496124
Guaviare,Colombia,2020-09-20 04:22:56,1.0654,-73.2603,628,11,417,200.0,758.7565092367731,1.751592356687898
Guerrero,Mexico,2020-09-20 04:22:56,17.4392,-99.5451,17335,1811,14318,1206.0,474.0162010452145,10.447072396884916
Guizhou,China,2020-09-20 04:22:56,26.8154,106.8748,147,2,145,0.0,0.4083333333333333,1.3605442176870748
Gujarat,India,2020-09-20 04:22:56,22.694884,71.590923,120336,3286,100974,16076.0,188.4006266932294,2.7306874085892834
Gunma,Japan,2020-09-20 04:22:56,36.504479,138.985605,644,19,480,145.0,33.15390412961735,2.950310559006211
Hainan,China,2020-09-20 04:22:56,19.1959,109.7453,171,6,165,0.0,1.8308351177730195,3.5087719298245608
Halland,Sweden,2020-09-20 04:22:56,56.8967,12.8034,2356,83,0,2273.0,705.710383168388,3.5229202037351444
Hamburg,Germany,2020-09-20 04:22:56,53.5511,9.9937,7149,269,6129,751.0,388.28381162287866,3.7627640229402712
Haryana,India,2020-09-20 04:22:56,29.20004,76.332824,106261,1092,83878,21291.0,376.749372054834,1.0276583130217107
Hawaii,US,2020-09-20 04:22:56,20.99064747,-157.41445579999998,11326,120,0,11206.0,418.44606390036836,1.838465651513308
Hebei,China,2020-09-20 04:22:56,37.8957,114.9042,365,6,356,3.0,0.4830598200105876,1.643835616438356
Heilongjiang,China,2020-09-20 04:22:56,47.862,127.7615,948,13,935,0.0,2.5125894513649616,1.3713080168776368
Henan,China,2020-09-20 04:22:56,33.882,113.614,1279,22,1254,3.0,1.331598125976054,1.7200938232994527
